num_exp,out of lives,illegal move,lost one life,discard,layers,activation,batch_sizes,gammas,learning_rates,obs_vec_type,num_actions,entropy_coeff,life_tokens,hint_tokens,epsilon_start,epsilon_decay_type,epsilon_low_at_epoch,epsilon_low
0,standard,-2,standard,standard,[64],Tanh,500,0.99,0.001,62,11,0.0,3,8,0,exponential,100000,0.001
1,standard,-2,standard,standard,[64],Tanh,500,0.99,0.001,62,11,1e-06,3,8,0,exponential,100000,0.001
2,standard,-2,standard,standard,[64],Tanh,500,0.99,0.001,62,11,1e-05,3,8,0,exponential,100000,0.001
3,standard,-2,standard,standard,[64],Tanh,500,0.99,0.001,62,11,0.0001,3,8,0,exponential,100000,0.001
4,standard,-2,standard,standard,[64],Tanh,500,0.99,0.001,62,11,0.001,3,8,0,exponential,100000,0.001
5,standard,-2,standard,standard,[64],Tanh,500,0.99,0.001,62,11,0.01,3,8,0,exponential,100000,0.001
6,standard,-2,standard,standard,[64],Tanh,500,0.99,0.001,62,11,0.1,3,8,0,exponential,100000,0.001
7,standard,-2,standard,standard,[64],Tanh,4000,0.99,0.001,62,11,0.0,3,8,0,exponential,100000,0.001
8,standard,-2,standard,standard,[64],Tanh,4000,0.99,0.001,62,11,1e-06,3,8,0,exponential,100000,0.001
9,standard,-2,standard,standard,[64],Tanh,4000,0.99,0.001,62,11,1e-05,3,8,0,exponential,100000,0.001
10,standard,-2,standard,standard,[64],Tanh,4000,0.99,0.001,62,11,0.0001,3,8,0,exponential,100000,0.001
11,standard,-2,standard,standard,[64],Tanh,4000,0.99,0.001,62,11,0.001,3,8,0,exponential,100000,0.001
12,standard,-2,standard,standard,[64],Tanh,4000,0.99,0.001,62,11,0.01,3,8,0,exponential,100000,0.001
13,standard,-2,standard,standard,[64],Tanh,4000,0.99,0.001,62,11,0.1,3,8,0,exponential,100000,0.001
14,standard,-2,standard,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,0.0,3,8,0,exponential,100000,0.001
15,standard,-2,standard,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,1e-06,3,8,0,exponential,100000,0.001
16,standard,-2,standard,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,1e-05,3,8,0,exponential,100000,0.001
17,standard,-2,standard,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,0.0001,3,8,0,exponential,100000,0.001
18,standard,-2,standard,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,0.001,3,8,0,exponential,100000,0.001
19,standard,-2,standard,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,0.01,3,8,0,exponential,100000,0.001
20,standard,-2,standard,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,0.1,3,8,0,exponential,100000,0.001
21,standard,-2,standard,standard,"[64, 64]",Tanh,4000,0.99,0.001,62,11,0.0,3,8,0,exponential,100000,0.001
22,standard,-2,standard,standard,"[64, 64]",Tanh,4000,0.99,0.001,62,11,1e-06,3,8,0,exponential,100000,0.001
23,standard,-2,standard,standard,"[64, 64]",Tanh,4000,0.99,0.001,62,11,1e-05,3,8,0,exponential,100000,0.001
24,standard,-2,standard,standard,"[64, 64]",Tanh,4000,0.99,0.001,62,11,0.0001,3,8,0,exponential,100000,0.001
25,standard,-2,standard,standard,"[64, 64]",Tanh,4000,0.99,0.001,62,11,0.001,3,8,0,exponential,100000,0.001
26,standard,-2,standard,standard,"[64, 64]",Tanh,4000,0.99,0.001,62,11,0.01,3,8,0,exponential,100000,0.001
27,standard,-2,standard,standard,"[64, 64]",Tanh,4000,0.99,0.001,62,11,0.1,3,8,0,exponential,100000,0.001
28,standard,-10,standard,standard,[64],Tanh,500,0.99,0.001,62,11,0.0,3,8,0,exponential,100000,0.001
29,standard,-10,standard,standard,[64],Tanh,500,0.99,0.001,62,11,1e-06,3,8,0,exponential,100000,0.001
30,standard,-10,standard,standard,[64],Tanh,500,0.99,0.001,62,11,1e-05,3,8,0,exponential,100000,0.001
31,standard,-10,standard,standard,[64],Tanh,500,0.99,0.001,62,11,0.0001,3,8,0,exponential,100000,0.001
32,standard,-10,standard,standard,[64],Tanh,500,0.99,0.001,62,11,0.001,3,8,0,exponential,100000,0.001
33,standard,-10,standard,standard,[64],Tanh,500,0.99,0.001,62,11,0.01,3,8,0,exponential,100000,0.001
34,standard,-10,standard,standard,[64],Tanh,500,0.99,0.001,62,11,0.1,3,8,0,exponential,100000,0.001
35,standard,-10,standard,standard,[64],Tanh,4000,0.99,0.001,62,11,0.0,3,8,0,exponential,100000,0.001
36,standard,-10,standard,standard,[64],Tanh,4000,0.99,0.001,62,11,1e-06,3,8,0,exponential,100000,0.001
37,standard,-10,standard,standard,[64],Tanh,4000,0.99,0.001,62,11,1e-05,3,8,0,exponential,100000,0.001
38,standard,-10,standard,standard,[64],Tanh,4000,0.99,0.001,62,11,0.0001,3,8,0,exponential,100000,0.001
39,standard,-10,standard,standard,[64],Tanh,4000,0.99,0.001,62,11,0.001,3,8,0,exponential,100000,0.001
40,standard,-10,standard,standard,[64],Tanh,4000,0.99,0.001,62,11,0.01,3,8,0,exponential,100000,0.001
41,standard,-10,standard,standard,[64],Tanh,4000,0.99,0.001,62,11,0.1,3,8,0,exponential,100000,0.001
42,standard,-10,standard,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,0.0,3,8,0,exponential,100000,0.001
43,standard,-10,standard,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,1e-06,3,8,0,exponential,100000,0.001
44,standard,-10,standard,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,1e-05,3,8,0,exponential,100000,0.001
45,standard,-10,standard,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,0.0001,3,8,0,exponential,100000,0.001
46,standard,-10,standard,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,0.001,3,8,0,exponential,100000,0.001
47,standard,-10,standard,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,0.01,3,8,0,exponential,100000,0.001
48,standard,-10,standard,standard,"[64, 64]",Tanh,500,0.99,0.001,62,11,0.1,3,8,0,exponential,100000,0.001
49,standard,-10,standard,standard,"[64, 64]",Tanh,4000,0.99,0.001,62,11,0.0,3,8,0,exponential,100000,0.001
50,standard,-10,standard,standard,"[64, 64]",Tanh,4000,0.99,0.001,62,11,1e-06,3,8,0,exponential,100000,0.001
51,standard,-10,standard,standard,"[64, 64]",Tanh,4000,0.99,0.001,62,11,1e-05,3,8,0,exponential,100000,0.001
52,standard,-10,standard,standard,"[64, 64]",Tanh,4000,0.99,0.001,62,11,0.0001,3,8,0,exponential,100000,0.001
53,standard,-10,standard,standard,"[64, 64]",Tanh,4000,0.99,0.001,62,11,0.001,3,8,0,exponential,100000,0.001
54,standard,-10,standard,standard,"[64, 64]",Tanh,4000,0.99,0.001,62,11,0.01,3,8,0,exponential,100000,0.001
55,standard,-10,standard,standard,"[64, 64]",Tanh,4000,0.99,0.001,62,11,0.1,3,8,0,exponential,100000,0.001
