num_exp,out of lives,illegal move,lost one life,discard,lr_pi,hidden_layers_pi,activation_pi,renormalize_adv,entropy_coeff,lr_vf,hidden_layers_vf,activation_vf,train_vf_iters,gammas,batch_sizes,obs_vec_type,num_actions,life_tokens,hint_tokens,epsilon_start,epsilon_decay_type,epsilon_low_at_epoch,epsilon_low
0,standard,-1,standard,standard,0.0003,[64],Tanh,True,0.0,0.001,[64],Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
1,standard,-1,standard,standard,0.0003,[64],Tanh,True,0.0,0.001,[64],Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
2,standard,-1,standard,standard,0.0003,[64],Tanh,True,0.0,0.001,"[64, 64]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
3,standard,-1,standard,standard,0.0003,[64],Tanh,True,0.0,0.001,"[64, 64]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
4,standard,-1,standard,standard,0.0003,[64],Tanh,True,0.0,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
5,standard,-1,standard,standard,0.0003,[64],Tanh,True,0.0,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
6,standard,-1,standard,standard,0.0003,[64],Tanh,True,0.01,0.001,[64],Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
7,standard,-1,standard,standard,0.0003,[64],Tanh,True,0.01,0.001,[64],Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
8,standard,-1,standard,standard,0.0003,[64],Tanh,True,0.01,0.001,"[64, 64]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
9,standard,-1,standard,standard,0.0003,[64],Tanh,True,0.01,0.001,"[64, 64]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
10,standard,-1,standard,standard,0.0003,[64],Tanh,True,0.01,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
11,standard,-1,standard,standard,0.0003,[64],Tanh,True,0.01,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
12,standard,-1,standard,standard,0.0003,[64],Tanh,False,0.0,0.001,[64],Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
13,standard,-1,standard,standard,0.0003,[64],Tanh,False,0.0,0.001,[64],Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
14,standard,-1,standard,standard,0.0003,[64],Tanh,False,0.0,0.001,"[64, 64]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
15,standard,-1,standard,standard,0.0003,[64],Tanh,False,0.0,0.001,"[64, 64]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
16,standard,-1,standard,standard,0.0003,[64],Tanh,False,0.0,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
17,standard,-1,standard,standard,0.0003,[64],Tanh,False,0.0,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
18,standard,-1,standard,standard,0.0003,[64],Tanh,False,0.01,0.001,[64],Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
19,standard,-1,standard,standard,0.0003,[64],Tanh,False,0.01,0.001,[64],Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
20,standard,-1,standard,standard,0.0003,[64],Tanh,False,0.01,0.001,"[64, 64]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
21,standard,-1,standard,standard,0.0003,[64],Tanh,False,0.01,0.001,"[64, 64]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
22,standard,-1,standard,standard,0.0003,[64],Tanh,False,0.01,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
23,standard,-1,standard,standard,0.0003,[64],Tanh,False,0.01,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
24,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.0,0.001,[64],Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
25,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.0,0.001,[64],Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
26,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.0,0.001,"[64, 64]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
27,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.0,0.001,"[64, 64]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
28,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.0,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
29,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.0,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
30,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.01,0.001,[64],Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
31,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.01,0.001,[64],Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
32,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.01,0.001,"[64, 64]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
33,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.01,0.001,"[64, 64]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
34,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.01,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
35,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,True,0.01,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
36,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,False,0.0,0.001,[64],Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
37,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,False,0.0,0.001,[64],Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
38,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,False,0.0,0.001,"[64, 64]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
39,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,False,0.0,0.001,"[64, 64]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
40,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,False,0.0,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
41,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,False,0.0,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
42,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,False,0.01,0.001,[64],Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
43,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,False,0.01,0.001,[64],Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
44,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,False,0.01,0.001,"[64, 64]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
45,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,False,0.01,0.001,"[64, 64]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
46,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,False,0.01,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
47,standard,-1,standard,standard,0.0003,"[64, 64]",Tanh,False,0.01,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
48,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,True,0.0,0.001,[64],Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
49,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,True,0.0,0.001,[64],Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
50,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,True,0.0,0.001,"[64, 64]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
51,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,True,0.0,0.001,"[64, 64]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
52,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,True,0.0,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
53,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,True,0.0,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
54,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,True,0.01,0.001,[64],Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
55,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,True,0.01,0.001,[64],Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
56,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,True,0.01,0.001,"[64, 64]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
57,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,True,0.01,0.001,"[64, 64]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
58,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,True,0.01,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
59,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,True,0.01,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
60,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,False,0.0,0.001,[64],Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
61,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,False,0.0,0.001,[64],Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
62,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,False,0.0,0.001,"[64, 64]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
63,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,False,0.0,0.001,"[64, 64]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
64,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,False,0.0,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
65,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,False,0.0,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
66,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,False,0.01,0.001,[64],Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
67,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,False,0.01,0.001,[64],Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
68,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,False,0.01,0.001,"[64, 64]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
69,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,False,0.01,0.001,"[64, 64]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
70,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,False,0.01,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,82,11,3,8,0,exponential,100000,0.001
71,standard,-1,standard,standard,0.0003,"[800, 400, 200]",Tanh,False,0.01,0.001,"[800, 400, 200]",Tanh,80,0.99,1000,136,11,3,8,0,exponential,100000,0.001
